Anki genutzt;Anki nuetzlich;Anki genutzt;Anki hilfreich;Anki Umfang;Pruefungspunkte
1;1;2;;;33
1;0;1;2;1;33
0;0;2;2;;
0;0;2;;;35
0;0;2;;;29
0;1;1;1;2;19
0;0;2;;;39
1;0;1;1;1;28
1;0;1;2;3;30
0;0;2;2;;37
0;0;;2;;37
0;0;2;;;29
1;1;1;1;1;24
0;0;2;;;
1;1;1;1;1;30
1;1;1;1;3;26
0;0;2;;;34
1;1;1;1;3;29
0;0;2;;;36
0;0;;;;38
1;0;1;2;1;27
1;0;1;1;2;36
0;0;2;;;38
0;0;2;;;37
1;1;1;1;1;
1;1;1;1;2;28
1;1;1;1;1;35
1;1;1;1;1;29
0;0;2;;;38
1;0;1;2;2;31
1;1;1;1;3;23
0;0;2;2;;31
1;0;2;;;30
0;0;1;1;2;31
0;0;2;;;36
0;0;2;;;35
0;0;2;;;33
1;1;1;1;1;29
1;0;1;;;29
0;0;2;;;23
1;0;1;2;2;27
1;1;1;1;1;31
0;0;2;;;28
0;0;2;;;
1;1;1;1;1;32
0;0;2;2;;33
0;0;2;;;33
0;0;2;2;;32
0;0;2;;;35
0;1;2;;;34
0;0;2;;;26
1;1;;1;1;30
1;0;1;1;1;24
0;1;2;;;24
0;0;2;;;29
0;0;2;;;33
1;1;1;1;3;36
1;1;1;1;3;37
0;0;2;;;32
1;1;1;1;1;37
0;0;;;;
1;0;1;1;2;29
0;0;2;;;22
0;1;2;;;
1;0;1;2;2;26
0;0;2;;;36
1;1;1;1;2;28
1;0;1;1;2;32
1;1;1;;3;30
0;0;2;;;31
0;0;1;1;2;32
0;1;1;1;2;29
0;0;2;;;35
1;1;1;1;1;33
1;0;1;1;1;34
0;0;2;;;35
0;0;2;;;33
0;0;2;;;33
0;0;2;;;30
0;0;2;;;39
0;1;2;;;23
1;1;1;1;2;37
1;1;1;1;1;24
1;0;1;2;1;25
0;0;2;;;34
0;0;2;;;22
1;1;1;1;2;32
0;1;2;;;26
1;1;1;1;3;35
0;0;2;;;24
0;0;1;2;3;28
1;0;1;2;2;28
1;1;1;1;1;28
1;1;1;1;1;25
1;1;1;1;1;30
1;1;;1;1;33
0;0;2;2;;28
